added_at,submitted_by,name,start_date,start_time,end_date,end_time,location,description,category,organizer,email,phone,price,image,link_1,link_2,link_3,link_4,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32
07/07/2025 07:28,pxopulse+ocr@gmail.com,Jubileu das Confrarias das Paróquias do Porto Santo,16/8/2025,,16/8/2025,,Capela da Graça,"Celebração do Jubileu das Confrarias das Paróquias do Porto Santo, um evento de cariz religioso e comunitário.",Comunidade & Cultura,Paróquias do Porto Santo,,,Gratuito,ce558328-1c85-48ba-88f1-53ad7980d65f,https://www.facebook.com/share/p/16VR21ohLc/,,,,,,,,,,,,,,,,
11/07/2025 14:31,pxopulse+ocr@gmail.com,Oficina de Animação,21/7/2025,11:00,21/7/2025,13:00,"Escola do Porto Santo, Rua D. Berta de Moura Teixeira Aguiar, 9400-154 Porto Santo",Workshop de animação orientado por Hugo Olim. Materiais necessários: Telemóvel com câmara incorporada (ou máquina fotográfica) e tripé (facultativo). Para maiores de 10 anos.,Aprendizagem & Workshops,PORTA33,porta33@porta33.com,966616376,Pago,9615d05e-58ff-4d8e-8224-4728ffbd11af,https://www.porta33.com,,,,,,,,,,,,,,,,
11/07/2025 14:31,pxopulse+ocr@gmail.com,"Já tenho a esfera sobre o papel, agora podes registar a sua sombra",22/7/2025,11:00,22/7/2025,13:00,"Escola do Porto Santo, Rua D. Berta de Moura Teixeira Aguiar, 9400-154 Porto Santo",Oficina de criação de pequenos livros orientada por Miguel Ângelo Martins. Para maiores de 10 anos.,Aprendizagem & Workshops,PORTA33,porta33@porta33.com,966616376,Pago,9615d05e-58ff-4d8e-8224-4728ffbd11af,https://www.porta33.com,,,,,,,,,,,,,,,,
11/07/2025 14:31,pxopulse+ocr@gmail.com,Oficina de Palmito,23/7/2025,18:00,24/7/2025,20:00,"Escola do Porto Santo, Rua D. Berta de Moura Teixeira Aguiar, 9400-154 Porto Santo",Workshop orientado por Vera Menezes. Materiais necessários: avental e uma tesoura de pontas pequena. Para maiores de 12 anos.,Aprendizagem & Workshops,PORTA33,porta33@porta33.com,966616376,Pago,9615d05e-58ff-4d8e-8224-4728ffbd11af,https://www.porta33.com,,,,,,,,,,,,,,,,
11/07/2025 14:53,pxopulse@gmail.com,Filme Crendices,26/7/2025,21:00,26/7/2025,,Centro Cultural e de Congressos do Porto Santo,"O filme ""Crendices"" é uma produção da Associação Cultural 4Litro. Trata-se de uma sessão de cinema. Evento Pago, o bilhete custa 6,00€.",Comunidade & Cultura,Associação Cultural 4Litro,,,Pago,d20de4e6-bd42-4173-9ef9-b5bced12ca1f,,,,,,,,,,,,,,,,,
13/07/2025 12:25,pxopulse+ocr@gmail.com,Estreito é o Tempo,19/7/2025,21:30,19/7/2025,,Escola do Porto Santo,"Exibição de 'Estreito é o Tempo', um documentário de Hugo Olim. O evento é um cinema ao ar livre com entrada gratuita.",Arte,Escola do Porto Santo,,,Gratuito,bc00f6ca-4d87-444e-a875-4dd76ee4c02b,https://www.facebook.com/share/p/1A5f2zTKWM/,,,,,,,,,,,,,,,,
13/07/2025 12:26,pxopulse+ocr@gmail.com,XXVI Festival Infantil de Vozes do Porto Santo,19/7/2025,21:30,19/7/2025,,Praça do Barqueiro,"26º Festival Infantil de Vozes do Porto Santo, com a participação do Coro Infantojuvenil e do Grupo Folclore Infantil.",Música,Câmara Municipal do Porto Santo,,,Desconhecido,1a151ba9-cf48-430a-9e2a-a83563768aa0,https://www.facebook.com/share/p/1AfwbLtVdw/,,,,,,,,,,,,,,,,
13/07/2025 12:26,pxopulse+ocr@gmail.com,Workshop de Iniciação ao Croché,19/7/2025,09:00,19/7/2025,13:00,Casa do Povo do Porto Santo,Um workshop de iniciação ao croché para aprender as bases desta arte manual. Os preços são de 15€ para sócios e 20€ para não sócios.,Aprendizagem & Workshops,Micas & Pitta's Handmade,workshopsmicaspittas@gmail.com,#ERROR!,Pago,3875943c-0b1e-4c66-bb2e-63029fdfbb81,https://www.facebook.com/share/p/1CWpE5yvUq/,,,,,,,,,,,,,,,,
20/07/2025 09:42,pxopulse+ocr@gmail.com,Mega-campanha de limpeza no Porto Santo,28/7/2025,,28/7/2025,,Porto Santo,"A Câmara Municipal do Porto Santo organiza uma mega-campanha de limpeza para combater a deposição indevida de resíduos e monos, que representa um problema de saúde pública e afeta a imagem turística da ilha. O presidente Nuno Batista salienta que o lixo espalhado não representa os valores da terra. A campanha envolve a ARM Porto Santo, Administração Pública Regional no Porto Santo, GNR, PSP, IFCN, Exército, Força Aérea, Capitania do Porto do Porto Santo, setor privado e comunidade local. Uma das ações específicas é uma limpeza costeira no Penedo do Sono, no dia 28 de Julho, entre as 10h30 e as 12h30, com participação aberta à comunidade.",Comunidade & Cultura,Câmara Municipal do Porto Santo,,,Gratuito,c6899354-499f-446a-b4ef-4f2797902671,,,,,,,,,,,,,,,,,
20/07/2025 09:48,pxopulse+ocr@gmail.com,Lançamento do Livro Caminhos Globais,26/7/2025,19:00,26/7/2025,,"Feira do Livro do Porto Santo, Largo do Tribunal, junto ao Largo das Palmeiras, Porto Santo","A Casa das Letras e a autora Marta Henriques Pereira convidam para o lançamento do livro ""Caminhos Globais"", que será apresentado por Sofia Lopes, Gestora do gabinete de projetos da AIDGLOBAL. O evento decorrerá na Feira do Livro do Porto Santo.",Comunidade & Cultura,A Casa das Letras,,,Desconhecido,d3f38606-a157-482c-9043-1796669b6a0f,,,,,,,,,,,,,,,,,
